dealer_id,vehicle_id,model,age_years,kilometer,days_in_stock,current_price,fair_price,gap_pct,sell_prob_30d,est_gp,action
MB-E07,CPO-001,GLC,2.6,11.3,5,235931.5925,233604.8453,0.01,0.5813,16515.2115,Hold
MB-E07,CPO-002,C-Class,1.2,3.3,42,263527.8577,256791.3774,0.0262,0.5635,18446.95,Hold
MB-E07,CPO-003,GLE,1.8,7.6,28,425574.9175,397302.5363,0.0712,0.3724,29790.2442,Hold
MB-E07,CPO-004,E-Class,3.1,2.1,75,316656.919,284406.5863,0.1134,0.3391,22165.9843,Reprice
MB-E07,CPO-005,A-Class,4.7,9.0,34,106567.7768,98468.3507,0.0823,0.4842,7459.7444,Hold
MB-E07,CPO-006,E-Class,2.2,6.9,119,332797.1833,281864.883,0.1807,0.1911,23295.8028,Reprice
MB-E07,CPO-007,C-Class,1.5,4.7,44,215861.2422,230696.5758,-0.0643,0.4898,15110.287,Raise
MB-E07,CPO-008,E-Class,3.3,6.1,112,327872.7107,271102.4588,0.2094,0.165,22951.0897,Reprice
MB-E07,CPO-009,C-Class,2.1,6.0,53,212098.2461,208404.6092,0.0177,0.5113,14846.8772,Hold
MB-E07,CPO-010,C-Class,3.9,6.9,31,184531.1152,176001.8673,0.0485,0.5028,12917.1781,Hold
MB-E07,CPO-011,GLC,3.6,5.4,39,214231.582,215739.3179,-0.007,0.5716,14996.2107,Hold
MB-E07,CPO-012,A-Class,4.3,8.5,44,118971.9254,106950.8326,0.1124,0.3999,8328.0348,Hold
MB-E07,CPO-013,E-Class,2.8,5.8,131,318226.7392,290272.1723,0.0963,0.2427,22275.8717,Reprice
MB-E07,CPO-014,A-Class,2.9,7.0,5,129262.8015,137577.6242,-0.0604,0.6639,9048.3961,Raise
MB-E07,CPO-015,A-Class,3.0,7.4,47,161043.0082,134680.1012,0.1957,0.2644,11273.0106,Hold
MB-E07,CPO-016,A-Class,1.9,2.2,38,124832.5814,149611.8462,-0.1656,0.5268,8738.2807,Raise
MB-E07,CPO-017,GLC,3.5,2.7,21,242625.0595,234616.0306,0.0341,0.5212,16983.7542,Hold
MB-E07,CPO-018,GLA,3.5,4.6,45,169612.6294,152939.0223,0.109,0.3519,11872.8841,Hold
MB-E07,CPO-019,GLA,2.9,1.1,27,168106.0822,163670.4519,0.0271,0.5313,11767.4258,Hold
MB-E07,CPO-020,GLC,3.5,1.9,45,254483.0397,234695.4184,0.0843,0.4386,17813.8128,Hold
MB-E07,CPO-021,GLA,3.4,8.4,52,145764.2889,138344.9259,0.0536,0.4685,10203.5002,Hold
MB-E07,CPO-022,GLC,2.9,5.5,33,244343.9307,238171.8589,0.0259,0.4612,17104.0751,Hold
MB-E07,CPO-023,E-Class,2.9,5.2,83,346905.1397,293896.8672,0.1804,0.3255,24283.3598,Reprice
MB-E07,CPO-024,GLE,1.7,4.8,76,417972.5763,435888.4153,-0.0411,0.5609,29258.0803,Hold
MB-E07,CPO-025,C-Class,3.1,5.7,87,165890.7686,181266.9685,-0.0848,0.3645,11612.3538,Raise
MB-E07,CPO-026,S-Class,0.9,6.3,11,692790.2377,596644.8245,0.1611,0.4143,48495.3166,Hold
MB-E07,CPO-027,GLE,3.7,6.8,78,323667.5821,312681.62,0.0351,0.4468,22656.7307,Hold
MB-E07,CPO-028,GLC,2.7,7.2,65,220002.171,227525.7468,-0.0331,0.5088,15400.152,Hold
MB-E07,CPO-029,A-Class,3.4,7.3,39,124812.5975,121031.1571,0.0312,0.5826,8736.8818,Hold
MB-E07,CPO-030,GLE,2.7,3.9,42,395239.6562,388297.0474,0.0179,0.519,27666.7759,Hold
MB-E07,CPO-031,C-Class,1.8,4.8,5,220167.2847,225369.0292,-0.0231,0.6364,15411.7099,Hold
MB-E07,CPO-032,E-Class,3.1,3.6,120,311073.2775,286068.3654,0.0874,0.3189,21775.1294,Reprice
MB-E07,CPO-033,C-Class,3.4,3.4,5,183315.0695,198182.9191,-0.075,0.5106,12832.0549,Raise
MB-E07,CPO-034,E-Class,3.8,5.5,104,287219.291,247962.6664,0.1583,0.2495,20105.3504,Reprice
MB-E07,CPO-035,E-Class,3.2,6.6,74,239074.3462,266900.9075,-0.1043,0.4784,16735.2042,Raise
MB-E07,CPO-036,GLC,3.0,4.2,34,233744.9681,242817.2211,-0.0374,0.6494,16362.1478,Hold
MB-E07,CPO-037,GLC,3.6,10.2,102,195653.9046,201261.9132,-0.0279,0.4398,13695.7733,Promote
MB-E07,CPO-038,C-Class,2.3,5.5,9,242393.8518,219283.5282,0.1054,0.3523,16967.5696,Hold
MB-E07,CPO-039,E-Class,2.9,5.8,101,321435.0072,277519.8742,0.1582,0.241,22500.4505,Reprice
MB-E07,CPO-040,A-Class,4.3,0.8,73,110646.2591,118282.599,-0.0646,0.4831,7745.2381,Raise
MB-E07,CPO-041,GLE,4.4,8.2,34,311087.763,282923.8732,0.0995,0.4406,21776.1434,Hold
MB-E07,CPO-042,E-Class,0.9,6.8,104,385352.2721,338543.3881,0.1383,0.1931,26974.659,Reprice
MB-E07,CPO-043,GLC,4.7,7.9,19,172485.0889,176111.8979,-0.0206,0.566,12073.9562,Hold
MB-E07,CPO-044,C-Class,4.2,3.7,31,194674.4364,164027.2851,0.1868,0.2687,13627.2105,Hold
MB-E07,CPO-045,GLA,3.5,6.3,60,157753.296,145130.1774,0.087,0.3333,11042.7307,Reprice
MB-E07,CPO-046,GLC,4.5,6.0,10,180494.1611,185306.3,-0.026,0.6917,12634.5913,Hold
MB-E07,CPO-047,E-Class,3.2,6.9,126,302209.9167,263165.0877,0.1484,0.174,21154.6942,Reprice
MB-E07,CPO-048,S-Class,1.1,6.4,66,566905.1105,578878.7407,-0.0207,0.4807,39683.3577,Hold
MB-E07,CPO-049,E-Class,4.2,3.7,54,251470.1193,236394.5559,0.0638,0.4171,17602.9084,Hold
MB-E07,CPO-050,GLC,3.1,5.2,48,268993.6116,243123.9713,0.1064,0.4482,18829.5528,Hold
MB-E07,CPO-051,GLA,2.7,3.6,99,177047.4102,175457.402,0.0091,0.4744,12393.3187,Transfer
MB-E07,CPO-052,EQE,4.8,0.8,76,271219.6972,265527.4616,0.0214,0.4159,18985.3788,Hold
MB-E07,CPO-053,E-Class,2.7,6.8,72,268728.9909,266019.938,0.0102,0.4682,18811.0294,Hold
MB-E07,CPO-054,E-Class,3.5,1.9,39,284209.1219,270879.0095,0.0492,0.5403,19894.6385,Hold
MB-E07,CPO-055,GLC,4.6,4.2,93,208351.6724,200542.4145,0.0389,0.4175,14584.6171,Promote
MB-E07,CPO-056,E-Class,2.5,6.4,130,317803.5829,293930.3836,0.0812,0.237,22246.2508,Reprice
MB-E07,CPO-057,E-Class,3.9,8.6,160,271716.7046,237282.2447,0.1451,0.1289,19020.1693,Reprice
MB-E07,CPO-058,EQE,1.6,4.4,21,353136.3686,366596.4369,-0.0367,0.6264,24719.5458,Hold
MB-E07,CPO-059,C-Class,4.4,5.3,71,173608.6106,160363.5578,0.0826,0.372,12152.6027,Reprice
MB-E07,CPO-060,GLC,3.0,7.6,97,202363.2896,236148.701,-0.1431,0.4851,14165.4303,Promote
MB-E07,CPO-061,E-Class,3.3,5.2,115,308381.2905,272960.7624,0.1298,0.2399,21586.6903,Reprice
MB-E07,CPO-062,E-Class,3.4,2.6,113,343714.0196,289677.2441,0.1865,0.2938,24059.9814,Reprice
MB-E07,CPO-063,A-Class,3.3,10.9,35,127372.3732,113256.3385,0.1246,0.3708,8916.0661,Hold
MB-E07,CPO-064,GLC,4.8,2.9,5,183965.0164,192575.3166,-0.0447,0.6333,12877.5511,Hold
MB-E07,CPO-065,E-Class,2.5,7.3,121,321262.8196,279307.748,0.1502,0.2153,22488.3974,Reprice
MB-E07,CPO-066,E-Class,4.0,4.8,114,286314.5695,245248.6454,0.1674,0.2238,20042.0199,Reprice
MB-E07,CPO-067,E-Class,1.1,2.4,35,405069.9374,385848.1397,0.0498,0.4588,28354.8956,Hold
MB-E07,CPO-068,GLC,4.0,4.9,42,212197.8305,215733.9788,-0.0164,0.5414,14853.8481,Hold
MB-E07,CPO-069,E-Class,4.6,8.1,94,245283.0657,219833.2197,0.1158,0.333,17169.8146,Reprice
MB-E07,CPO-070,GLA,3.9,0.8,44,150866.293,146985.5863,0.0264,0.5205,10560.6405,Hold
MB-E07,CPO-071,C-Class,3.9,6.9,54,174149.8404,178512.2181,-0.0244,0.5499,12190.4888,Hold
MB-E07,CPO-072,GLC,5.0,3.4,82,184947.6889,169426.2011,0.0916,0.2921,12946.3382,Reprice
MB-E07,CPO-073,GLE,4.0,5.3,18,285023.3068,294476.5197,-0.0321,0.552,19951.6315,Hold
MB-E07,CPO-074,S-Class,2.6,4.8,22,525054.6676,507325.6663,0.0349,0.5934,36753.8267,Hold
MB-E07,CPO-075,C-Class,2.0,2.8,19,254718.2101,232036.9803,0.0977,0.3736,17830.2747,Hold
MB-E07,CPO-076,E-Class,1.7,4.3,88,398761.3598,337760.5702,0.1806,0.2057,27913.2952,Reprice
MB-E07,CPO-077,C-Class,1.6,7.3,52,230329.767,223855.2861,0.0289,0.5118,16123.0837,Hold
MB-E07,CPO-078,GLC,3.7,7.7,58,208219.3487,208403.4048,-0.0009,0.5617,14575.3544,Hold
MB-E07,CPO-079,E-Class,3.1,6.5,109,320802.1848,288916.5973,0.1104,0.2128,22456.1529,Reprice
MB-E07,CPO-080,E-Class,4.0,8.4,119,265262.7872,226080.7533,0.1733,0.1872,18568.3951,Reprice
