dealer_id,region,nc_target,nc_units,nc_achv,cpo_target,cpo_units,cpo_achv,vans_target,vans_units,vans_achv,retail_units,cpo_penetration,asp,gp_per_unit,discount_rate,conversion,days_to_sale,days_supply,aging_90,yoy,as_revenue,as_target,as_gp,ro_volume,absorption,workshop_util,tech_eff,aro,parts_per_ro,parts_fill,service_retention,ftf,repeat_repair,csi,warranty_mix,compliance,sales_index,aftersales_index,cx_index,compliance_index,dealer_score,rank
MB-E10,East,1296,1378,1.0634,722,777,1.0773,272,213,0.7837,2368,0.3606,408079.1577,24389.6877,0.0837,0.2911,45.9568,36.4118,0.1418,-0.0193,89134771.5326,91805588.3848,37514193.1754,19301,0.9443,0.7786,0.8789,4618.1427,2.895,0.9575,0.8307,0.8993,0.0748,91.4306,0.2581,0.8751,73.0419,56.4416,75.735,12.4324,64.6053,1
MB-N02,North,1411,1449,1.0275,504,406,0.8063,207,251,1.2162,2106,0.2189,446689.0739,22140.6937,0.0671,0.2624,33.3289,55.5966,0.1328,0.0986,88453042.5849,92520144.6024,34228438.5301,23544,0.9794,0.8604,1.091,3756.925,2.9921,0.99,0.9,0.9547,0.0745,86.5085,0.3997,0.9323,56.4294,70.4022,61.6038,52.5323,61.9012,2
MB-S03,South,990,1202,1.215,601,609,1.0135,299,316,1.0586,2127,0.3363,364536.2845,17900.0399,0.0689,0.329,34.2593,63.6668,0.1647,0.0854,69064273.3397,66109416.7751,30969283.6894,18991,0.9664,0.8173,0.8769,3636.6844,3.1183,0.9306,0.6689,0.9116,0.078,89.3203,0.3176,1.0,70.7998,48.8765,47.0854,100.0,61.0295,3
MB-C04,Central,1535,1606,1.0467,705,689,0.9773,272,293,1.079,2588,0.3002,400495.0553,18374.2333,0.0822,0.309,25.6913,89.1217,0.0741,0.0217,88458744.2901,85437543.8265,36807092.5396,19920,1.0513,0.97,0.9803,4440.7,3.7117,0.925,0.8206,0.8828,0.0668,85.1948,0.2,1.0,50.4267,73.5448,46.2763,100.0,60.3741,4
MB-C07,Central,1435,1927,1.3434,753,740,0.984,303,325,1.0743,2992,0.2775,382109.9443,15757.47,0.1131,0.3222,35.2195,52.0136,0.066,0.0057,85791822.2087,94411843.9807,33376753.8375,21916,0.8958,0.7504,0.8854,3914.5748,3.8897,0.8964,0.6943,0.9264,0.067,89.1154,0.3529,0.909,80.0089,43.2826,49.1462,36.2126,60.3355,5
MB-S08,South,1590,1747,1.0992,707,708,1.0026,267,348,1.3053,2803,0.2884,422151.5009,15385.4207,0.0685,0.2512,40.7702,53.1221,0.0619,0.137,83135905.1478,83536560.5963,33143470.134,23415,1.0315,0.7385,0.9554,3550.5405,2.9389,0.9856,0.741,0.8788,0.0513,90.1325,0.3252,1.0,58.8899,51.9397,59.2708,100.0,58.57,6
MB-E01,East,1280,1415,1.1061,514,424,0.826,185,218,1.1826,2057,0.2306,471136.9136,18614.3452,0.0876,0.1785,59.2448,75.7044,0.1178,0.0494,91411662.4227,95777840.4259,39428635.3685,16913,0.9697,0.7625,1.0137,5404.8166,3.3398,0.9381,0.9,0.9222,0.0634,88.6332,0.2777,0.9934,44.5643,63.878,71.2324,95.3511,57.8637,7
MB-N05,North,1640,1675,1.0215,590,521,0.8844,204,203,0.9957,2399,0.2372,478243.4008,14970.9062,0.0968,0.2728,42.1466,77.6591,0.0894,0.0051,98467793.5827,93741265.1111,46832772.0209,20094,1.0824,0.7903,0.8964,4900.358,2.3815,0.897,0.7673,0.8314,0.049,94.8198,0.3908,1.0,39.2687,62.8108,83.6118,100.0,57.1964,8
MB-W07,West,1072,1188,1.1085,390,395,1.0135,249,265,1.0681,1848,0.2495,433572.8319,20341.5987,0.0441,0.2504,37.2342,67.5643,0.1476,0.0709,94284820.1843,102707008.1131,41288479.9973,19194,0.9114,0.901,0.9307,4912.2028,3.0667,0.8906,0.6893,0.9328,0.0246,89.2537,0.2,0.9224,60.9192,56.8158,49.1856,45.5899,56.9565,9
MB-W03,West,1508,1714,1.1366,439,461,1.0511,177,232,1.3154,2407,0.212,341059.5621,19431.9471,0.0761,0.2919,47.9889,78.3722,0.0831,0.0797,98962929.2754,90724067.3219,37897252.8815,17586,0.9445,0.9076,0.9972,5627.37,4.0879,0.8714,0.691,0.91,0.0634,82.826,0.4061,0.9638,67.1079,56.7094,20.2545,74.6307,56.8165,10
