feature,pearson_r,abs_pearson_r,feature_group
v_3,-0.7309461303195098,0.7309461303195098,anonymous_v
v_12,0.6928227564564796,0.6928227564564796,anonymous_v
v_8,0.685798383718239,0.685798383718239,anonymous_v
v_0,0.6283968155394747,0.6283968155394747,anonymous_v
reg_year,0.6108735132700936,0.6108735132700936,engineered
car_age_days,-0.6105099620345265,0.6105099620345265,engineered
car_age_years,-0.6105099620345227,0.6105099620345227,engineered
power,0.5564000175270266,0.5564000175270266,raw
kilometer,-0.4405186906206096,0.4405186906206096,raw
brand_price_mean,0.435849805422278,0.435849805422278,brand_target_agg
model_power_mean,0.43554318523676383,0.43554318523676383,model_agg
brand_price_median,0.42888601709195684,0.42888601709195684,brand_target_agg
km_per_year,0.4114247240737401,0.4114247240737401,engineered
brand_price_std,0.4045676224963475,0.4045676224963475,brand_target_agg
gearbox,0.3303534929368881,0.3303534929368881,raw
brand_price_max,0.2816459945658102,0.2816459945658102,brand_target_agg
v_11,-0.27532035717535164,0.27532035717535164,anonymous_v
bodyType,0.24860928280902725,0.24860928280902725,raw
v_10,-0.24617498450267905,0.24617498450267905,anonymous_v
fuelType,0.20951035667367088,0.20951035667367088,raw
v_9,-0.20620456220820585,0.20620456220820585,anonymous_v
model_power_std,0.20065518107502517,0.20065518107502517,model_agg
v_5,0.16431713069448073,0.16431713069448073,anonymous_v
v_4,-0.14708534796989525,0.14708534796989525,anonymous_v
model,0.13698317037761445,0.13698317037761445,raw
v_2,0.08532172437957503,0.08532172437957503,anonymous_v
v_6,0.06897020557960264,0.06897020557960264,anonymous_v
model_count,-0.062188399055041206,0.062188399055041206,model_agg
v_1,0.06091424596601829,0.06091424596601829,anonymous_v
v_7,-0.05302435487858863,0.05302435487858863,anonymous_v
brand,-0.043799160038214636,0.043799160038214636,raw
v_14,0.03591050899489761,0.03591050899489761,anonymous_v
regionCode,0.014036008632748582,0.014036008632748582,raw
v_13,-0.013993027013543324,0.013993027013543324,anonymous_v
creat_month,0.012833740882308433,0.012833740882308433,engineered
reg_month,0.005378839596289601,0.005378839596289601,engineered
name,0.0020296069923899113,0.0020296069923899113,raw
seller,-0.002004248175610965,0.002004248175610965,raw
creat_year,-0.0017016602690951,0.0017016602690951,engineered
offerType,,,raw
